name,category,origin,age,expert_score,community_score,flavor_profile
Monkey 47 Dry Gin,N/A,N/A,N/A,N/A,N/A,N/A
"Eric Bordelet Selection ""Henri Bernard Beudin"" 1997 Single Cask Calvados",N/A,N/A,N/A,N/A,N/A,N/A
Rémy Martin Louis XIII Cognac,N/A,N/A,N/A,N/A,N/A,N/A
Cognac Dudognon Heritage,N/A,N/A,N/A,N/A,N/A,N/A
Hibiki 21 Year,N/A,N/A,N/A,N/A,N/A,N/A
Highland Park 18 Year,N/A,N/A,N/A,N/A,N/A,N/A
Michter's 20 Year Kentucky Straight Bourbon (2021 Release),N/A,N/A,N/A,N/A,N/A,N/A
George T. Stagg Bourbon (Fall 2019),N/A,N/A,N/A,N/A,N/A,N/A
4 Copas Tequila Blanco,N/A,N/A,N/A,N/A,N/A,N/A
Mezcal Los Siete Misterios Pechuga,N/A,N/A,N/A,N/A,N/A,N/A
Chateau de Leberon 1964 Armagnac Ténarèze,N/A,N/A,N/A,N/A,N/A,N/A
Bowmore Mizunara Cask Finish,N/A,N/A,N/A,N/A,N/A,N/A
Macallan M,N/A,N/A,N/A,N/A,N/A,N/A
Capovilla Liberation PMG RHUM,N/A,N/A,N/A,N/A,N/A,N/A
Brugal Papá Andrés 2015 Alegría Edition Rum,N/A,N/A,N/A,N/A,N/A,N/A
Navazos-Palazzi Montilla Old Brandy Single Cask (Bottled August 2013),N/A,N/A,N/A,N/A,N/A,N/A
Jean & Roger Glemet 1979 Cognac,N/A,N/A,N/A,N/A,N/A,N/A
Del Maguey Arroqueño Mezcal,N/A,N/A,N/A,N/A,N/A,N/A
Fuenteseca Reserva Extra Añejo Tequila 9 Años,N/A,N/A,N/A,N/A,N/A,N/A
Port Ellen 32 Year 1979 (2012 Special Release),N/A,N/A,N/A,N/A,N/A,N/A
Thomas H. Handy Sazerac Rye (Fall 2015),N/A,N/A,N/A,N/A,N/A,N/A
William Larue Weller Bourbon (Fall 2015),N/A,N/A,N/A,N/A,N/A,N/A
Balvenie Tun 1509 Batch 1,N/A,N/A,N/A,N/A,N/A,N/A
"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",N/A,N/A,N/A,N/A,N/A,N/A
Four Roses Limited Edition Single Barrel Bourbon (2013),N/A,N/A,N/A,N/A,N/A,N/A
Macallan Rare Cask,N/A,N/A,N/A,N/A,N/A,N/A
Four Roses Limited Edition Single Barrel Bourbon (2014),N/A,N/A,N/A,N/A,N/A,N/A
Macallan Fine Oak 21 Year,N/A,N/A,N/A,N/A,N/A,N/A
Thomas H. Handy Sazerac Rye (Fall 2014),N/A,N/A,N/A,N/A,N/A,N/A
Parker's Heritage Promise of Hope,N/A,N/A,N/A,N/A,N/A,N/A
Russell's Reserve 15 Year Bourbon (2024 Release),N/A,N/A,N/A,N/A,N/A,N/A
Wild Turkey Master's Keep Voyage,N/A,N/A,N/A,N/A,N/A,N/A
Appleton Estate 17 Year Legend,N/A,N/A,N/A,N/A,N/A,N/A
Mijenta Tequila Añejo Gran Reserva,N/A,N/A,N/A,N/A,N/A,N/A
George Dickel x Leopold Bros Collaboration Blend (2021 Release),N/A,N/A,N/A,N/A,N/A,N/A
"Booker's Bourbon Batch 2021-01 ""Donohoe's Batch""",N/A,N/A,N/A,N/A,N/A,N/A
Del Professore Vermouth di Torino Classico,N/A,N/A,N/A,N/A,N/A,N/A
Bushmills 28 Year The Rare Casks Cognac Cask Single Malt,N/A,N/A,N/A,N/A,N/A,N/A
Monkey 47 Distiller's Cut 2020,N/A,N/A,N/A,N/A,N/A,N/A
Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,N/A,N/A,N/A,N/A,N/A,N/A
Bowmore Vintner's Trilogy 26 Year French Oak Barrique,N/A,N/A,N/A,N/A,N/A,N/A
Sazerac Rye 18 Year (Fall 2017),N/A,N/A,N/A,N/A,N/A,N/A
Rutte Jonge Graanjenever,N/A,N/A,N/A,N/A,N/A,N/A
Beefeater London Dry Gin,N/A,N/A,N/A,N/A,N/A,N/A
